Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%),LE_calculated,LE,HLE_Gap
2011 to 2013,England,Local Areas,E10000019,Lincolnshire,Male,1,<1,1,64.0,62.3,65.7,81,79.01234567901234,79.01234567901234,15.012345679012341
2011 to 2013,England,Local Areas,E10000019,Lincolnshire,Female,2,<1,1,65.1,63.3,66.9,79,82.40506329113923,82.40506329113923,17.305063291139234
2011 to 2013,England,Local Areas,E10000020,Norfolk,Male,1,<1,1,64.4,62.9,66.0,81,79.50617283950618,79.50617283950618,15.106172839506172
2011 to 2013,England,Local Areas,E10000020,Norfolk,Female,2,<1,1,65.4,63.8,67.1,78,83.84615384615385,83.84615384615385,18.446153846153848
2011 to 2013,England,Local Areas,E10000024,Nottinghamshire,Male,1,<1,1,62.1,60.4,63.8,78,79.61538461538461,79.61538461538461,17.515384615384612
2011 to 2013,England,Local Areas,E10000024,Nottinghamshire,Female,2,<1,1,62.7,60.8,64.6,76,82.5,82.5,19.799999999999997
2011 to 2013,England,Local Areas,E10000025,Oxfordshire,Male,1,<1,1,66.0,64.0,68.0,82,80.48780487804879,80.48780487804879,14.487804878048792
2011 to 2013,England,Local Areas,E10000025,Oxfordshire,Female,2,<1,1,67.2,65.1,69.4,80,84.0,84.0,16.799999999999997
2011 to 2013,England,Local Areas,E10000028,Staffordshire,Male,1,<1,1,63.3,61.6,65.0,80,79.12499999999999,79.12499999999999,15.824999999999989
2011 to 2013,England,Local Areas,E10000028,Staffordshire,Female,2,<1,1,63.9,62.1,65.6,77,82.98701298701299,82.98701298701299,19.08701298701299
2011 to 2013,England,Local Areas,E10000029,Suffolk,Male,1,<1,1,65.5,63.8,67.1,81,80.86419753086419,80.86419753086419,15.364197530864189
2011 to 2013,England,Local Areas,E10000029,Suffolk,Female,2,<1,1,66.4,64.5,68.2,79,84.05063291139241,84.05063291139241,17.650632911392407
2011 to 2013,England,Local Areas,E10000030,Surrey,Male,1,<1,1,68.1,66.7,69.6,84,81.07142857142857,81.07142857142857,12.971428571428575
2011 to 2013,England,Local Areas,E10000030,Surrey,Female,2,<1,1,69.6,67.9,71.2,82,84.8780487804878,84.8780487804878,15.278048780487808
2011 to 2013,England,Local Areas,E10000031,Warwickshire,Male,1,<1,1,66.1,64.2,68.0,83,79.63855421686746,79.63855421686746,13.538554216867468
2011 to 2013,England,Local Areas,E10000031,Warwickshire,Female,2,<1,1,67.2,65.1,69.3,80,84.0,84.0,16.799999999999997
2011 to 2013,England,Local Areas,E10000032,West Sussex,Male,1,<1,1,66.4,64.8,68.1,83,80.00000000000001,80.00000000000001,13.600000000000009
2011 to 2013,England,Local Areas,E10000032,West Sussex,Female,2,<1,1,68.2,66.3,70.0,81,84.19753086419753,84.19753086419753,15.997530864197529
2011 to 2013,England,Local Areas,E10000034,Worcestershire,Male,1,<1,1,65.8,64.0,67.6,83,79.27710843373494,79.27710843373494,13.47710843373494
2011 to 2013,England,Local Areas,E10000034,Worcestershire,Female,2,<1,1,66.8,64.9,68.8,80,83.49999999999999,83.49999999999999,16.69999999999999
2011 to 2013,England,Region,E12000001,North East,Male,1,<1,1,58.7,58.1,59.4,75,78.26666666666667,78.26666666666667,19.566666666666663
2011 to 2013,England,Region,E12000001,North East,Female,2,<1,1,60.1,59.5,60.8,74,81.21621621621622,81.21621621621622,21.116216216216223
2011 to 2013,England,Region,E12000002,North West,Male,1,<1,1,60.7,60.3,61.2,78,77.82051282051282,77.82051282051282,17.120512820512815
2011 to 2013,England,Region,E12000002,North West,Female,2,<1,1,61.6,61.2,62.1,75,82.13333333333334,82.13333333333334,20.53333333333334
2011 to 2013,England,Region,E12000003,Yorkshire and The Humber,Male,1,<1,1,60.9,60.3,61.4,78,78.07692307692307,78.07692307692307,17.176923076923067
2011 to 2013,England,Region,E12000003,Yorkshire and The Humber,Female,2,<1,1,61.7,61.1,62.2,75,82.26666666666667,82.26666666666667,20.566666666666663
2011 to 2013,England,Region,E12000004,East Midlands,Male,1,<1,1,62.5,61.8,63.1,79,79.1139240506329,79.1139240506329,16.613924050632903
2011 to 2013,England,Region,E12000004,East Midlands,Female,2,<1,1,63.2,62.5,63.9,76,83.15789473684211,83.15789473684211,19.957894736842107
2011 to 2013,England,Region,E12000005,West Midlands,Male,1,<1,1,62.1,61.6,62.6,79,78.60759493670886,78.60759493670886,16.507594936708863
2011 to 2013,England,Region,E12000005,West Midlands,Female,2,<1,1,62.9,62.3,63.5,76,82.76315789473684,82.76315789473684,19.863157894736837
2011 to 2013,England,Region,E12000006,East of England,Male,1,<1,1,64.9,64.3,65.5,81,80.12345679012346,80.12345679012346,15.22345679012345
2011 to 2013,England,Region,E12000006,East of England,Female,2,<1,1,65.8,65.1,66.4,79,83.29113924050633,83.29113924050633,17.491139240506328
2011 to 2013,England,Region,E12000007,London,Male,1,<1,1,63.5,62.9,64.0,80,79.375,79.375,15.875
2011 to 2013,England,Region,E12000007,London,Female,2,<1,1,63.7,63.2,64.3,76,83.81578947368422,83.81578947368422,20.115789473684217
2011 to 2013,England,Region,E12000008,South East,Male,1,<1,1,65.4,64.9,65.8,81,80.74074074074075,80.74074074074075,15.340740740740742
2011 to 2013,England,Region,E12000008,South East,Female,2,<1,1,66.8,66.3,67.3,80,83.49999999999999,83.49999999999999,16.69999999999999
2011 to 2013,England,Region,E12000009,South West,Male,1,<1,1,64.8,64.3,65.3,81,79.99999999999999,79.99999999999999,15.199999999999989
2011 to 2013,England,Region,E12000009,South West,Female,2,<1,1,65.7,65.1,66.3,78,84.23076923076923,84.23076923076923,18.530769230769224
2011 to 2013,England,Combined Authority,E47000001,Greater Manchester,Male,1,<1,1,60.0,59.3,60.7,77,77.92207792207792,77.92207792207792,17.922077922077918
2011 to 2013,England,Combined Authority,E47000001,Greater Manchester,Female,2,<1,1,60.8,60.0,61.5,75,81.06666666666666,81.06666666666666,20.266666666666666
2011 to 2013,England,Combined Authority,E47000002,South Yorkshire,Male,1,<1,1,58.2,57.1,59.3,74,78.64864864864866,78.64864864864866,20.448648648648657
2011 to 2013,England,Combined Authority,E47000002,South Yorkshire,Female,2,<1,1,58.6,57.4,59.8,72,81.3888888888889,81.3888888888889,22.7888888888889
2011 to 2013,England,Combined Authority,E47000003,West Yorkshire,Male,1,<1,1,60.6,59.7,61.6,78,77.6923076923077,77.6923076923077,17.092307692307692
2011 to 2013,England,Combined Authority,E47000003,West Yorkshire,Female,2,<1,1,61.5,60.4,62.5,75,82.0,82.0,20.5
