Period,Country,Area type,Area code,Area name,Sex,Sex code,Age group,Age code,HLE,LCI,UCI,Proportion (%),LE_calculated,LE,HLE_Gap
2015 to 2017,England,Local Areas,E10000029,Suffolk,Female,2,<1,1,65.3,63.3,67.3,78,83.71794871794872,83.71794871794872,18.41794871794872
2015 to 2017,England,Local Areas,E10000030,Surrey,Male,1,<1,1,68.1,66.5,69.6,84,81.07142857142857,81.07142857142857,12.971428571428575
2015 to 2017,England,Local Areas,E10000030,Surrey,Female,2,<1,1,69.0,67.2,70.8,81,85.18518518518518,85.18518518518518,16.185185185185176
2015 to 2017,England,Local Areas,E10000031,Warwickshire,Male,1,<1,1,65.1,63.1,67.1,82,79.39024390243902,79.39024390243902,14.29024390243903
2015 to 2017,England,Local Areas,E10000031,Warwickshire,Female,2,<1,1,66.7,64.4,69.1,80,83.375,83.375,16.674999999999997
2015 to 2017,England,Local Areas,E10000032,West Sussex,Male,1,<1,1,65.1,63.2,67.0,81,80.37037037037035,80.37037037037035,15.270370370370358
2015 to 2017,England,Local Areas,E10000032,West Sussex,Female,2,<1,1,65.8,63.7,68.0,78,84.35897435897435,84.35897435897435,18.558974358974353
2015 to 2017,England,Local Areas,E10000034,Worcestershire,Male,1,<1,1,66.0,64.2,67.7,83,79.51807228915663,79.51807228915663,13.518072289156635
2015 to 2017,England,Local Areas,E10000034,Worcestershire,Female,2,<1,1,67.7,65.5,69.9,81,83.58024691358024,83.58024691358024,15.880246913580237
2015 to 2017,England,Region,E12000001,North East,Male,1,<1,1,59.6,58.9,60.2,76,78.42105263157895,78.42105263157895,18.821052631578944
2015 to 2017,England,Region,E12000001,North East,Female,2,<1,1,60.4,59.7,61.1,74,81.62162162162161,81.62162162162161,21.221621621621615
2015 to 2017,England,Region,E12000002,North West,Male,1,<1,1,61.1,60.7,61.6,78,78.33333333333333,78.33333333333333,17.233333333333327
2015 to 2017,England,Region,E12000002,North West,Female,2,<1,1,62.1,61.6,62.6,76,81.71052631578948,81.71052631578948,19.61052631578948
2015 to 2017,England,Region,E12000003,Yorkshire and The Humber,Male,1,<1,1,61.5,60.9,62.0,78,78.84615384615384,78.84615384615384,17.34615384615384
2015 to 2017,England,Region,E12000003,Yorkshire and The Humber,Female,2,<1,1,61.7,61.0,62.3,75,82.26666666666667,82.26666666666667,20.566666666666663
2015 to 2017,England,Region,E12000004,East Midlands,Male,1,<1,1,62.6,61.9,63.3,79,79.24050632911393,79.24050632911393,16.640506329113926
2015 to 2017,England,Region,E12000004,East Midlands,Female,2,<1,1,62.5,61.7,63.3,75,83.33333333333333,83.33333333333333,20.83333333333333
2015 to 2017,England,Region,E12000005,West Midlands,Male,1,<1,1,61.9,61.3,62.4,79,78.35443037974683,78.35443037974683,16.45443037974683
2015 to 2017,England,Region,E12000005,West Midlands,Female,2,<1,1,63.1,62.5,63.7,76,83.02631578947368,83.02631578947368,19.926315789473684
2015 to 2017,England,Region,E12000006,East of England,Male,1,<1,1,64.5,63.9,65.1,80,80.625,80.625,16.125
2015 to 2017,England,Region,E12000006,East of England,Female,2,<1,1,65.3,64.6,65.9,78,83.71794871794872,83.71794871794872,18.41794871794872
2015 to 2017,England,Region,E12000007,London,Male,1,<1,1,64.0,63.4,64.6,80,80.0,80.0,16.0
2015 to 2017,England,Region,E12000007,London,Female,2,<1,1,64.4,63.8,65.0,77,83.63636363636364,83.63636363636364,19.236363636363635
2015 to 2017,England,Region,E12000008,South East,Male,1,<1,1,65.8,65.3,66.3,82,80.2439024390244,80.2439024390244,14.443902439024399
2015 to 2017,England,Region,E12000008,South East,Female,2,<1,1,66.6,66.0,67.1,79,84.30379746835442,84.30379746835442,17.703797468354423
2015 to 2017,England,Region,E12000009,South West,Male,1,<1,1,65.0,64.4,65.5,81,80.24691358024691,80.24691358024691,15.246913580246911
2015 to 2017,England,Region,E12000009,South West,Female,2,<1,1,65.7,65.1,66.4,79,83.16455696202532,83.16455696202532,17.464556962025313
2015 to 2017,England,Combined Authority,E47000001,Greater Manchester,Male,1,<1,1,59.8,59.1,60.5,77,77.66233766233766,77.66233766233766,17.862337662337666
2015 to 2017,England,Combined Authority,E47000001,Greater Manchester,Female,2,<1,1,60.6,59.8,61.3,74,81.8918918918919,81.8918918918919,21.2918918918919
2015 to 2017,England,Combined Authority,E47000002,South Yorkshire,Male,1,<1,1,60.3,59.1,61.4,77,78.3116883116883,78.3116883116883,18.011688311688303
2015 to 2017,England,Combined Authority,E47000002,South Yorkshire,Female,2,<1,1,60.2,59.0,61.5,74,81.35135135135135,81.35135135135135,21.15135135135135
2015 to 2017,England,Combined Authority,E47000003,West Yorkshire,Male,1,<1,1,60.9,60.0,61.9,78,78.07692307692307,78.07692307692307,17.176923076923067
2015 to 2017,England,Combined Authority,E47000003,West Yorkshire,Female,2,<1,1,61.1,60.1,62.2,75,81.46666666666667,81.46666666666667,20.366666666666667
2015 to 2017,England,Combined Authority,E47000004,Liverpool City Region,Male,1,<1,1,59.4,58.5,60.4,77,77.14285714285714,77.14285714285714,17.74285714285714
2015 to 2017,England,Combined Authority,E47000004,Liverpool City Region,Female,2,<1,1,60.2,59.2,61.2,74,81.35135135135135,81.35135135135135,21.15135135135135
2015 to 2017,England,Combined Authority,E47000006,Tees Valley,Male,1,<1,1,58.7,57.6,59.8,76,77.23684210526316,77.23684210526316,18.536842105263162
2015 to 2017,England,Combined Authority,E47000006,Tees Valley,Female,2,<1,1,59.7,58.6,60.8,73,81.78082191780823,81.78082191780823,22.080821917808223
2015 to 2017,England,Combined Authority,E47000007,West Midlands (Combined Authority),Male,1,<1,1,59.5,58.7,60.3,76,78.28947368421052,78.28947368421052,18.78947368421052
2015 to 2017,England,Combined Authority,E47000007,West Midlands (Combined Authority),Female,2,<1,1,60.7,59.8,61.5,74,82.02702702702703,82.02702702702703,21.32702702702703
2015 to 2017,England,Combined Authority,E47000008,Cambridgeshire and Peterborough,Male,1,<1,1,64.6,63.1,66.1,80,80.74999999999999,80.74999999999999,16.14999999999999
2015 to 2017,England,Combined Authority,E47000008,Cambridgeshire and Peterborough,Female,2,<1,1,65.5,63.8,67.2,78,83.97435897435898,83.97435897435898,18.474358974358978
2015 to 2017,England,Combined Authority,E47000009,West of England,Male,1,<1,1,63.7,62.3,65.2,80,79.625,79.625,15.924999999999997
2015 to 2017,England,Combined Authority,E47000009,West of England,Female,2,<1,1,64.5,62.9,66.0,77,83.76623376623377,83.76623376623377,19.266233766233768
2015 to 2017,England,Combined Authority,E47000012,York and North Yorkshire,Male,1,<1,1,65.5,64.0,67.0,81,80.86419753086419,80.86419753086419,15.364197530864189
2015 to 2017,England,Combined Authority,E47000012,York and North Yorkshire,Female,2,<1,1,66.1,64.4,67.7,79,83.67088607594935,83.67088607594935,17.57088607594936
2015 to 2017,England,Combined Authority,E47000013,East Midlands (Combined Authority),Male,1,<1,1,61.4,60.3,62.4,78,78.71794871794872,78.71794871794872,17.317948717948717
2015 to 2017,England,Combined Authority,E47000013,East Midlands (Combined Authority),Female,2,<1,1,61.1,59.9,62.3,74,82.56756756756756,82.56756756756756,21.467567567567563
2015 to 2017,England,Combined Authority,E47000014,North East (Combined Authority),Male,1,<1,1,59.9,59.0,60.7,77,77.79220779220779,77.79220779220779,17.892207792207792
2015 to 2017,England,Combined Authority,E47000014,North East (Combined Authority),Female,2,<1,1,60.6,59.7,61.6,74,81.8918918918919,81.8918918918919,21.2918918918919
2015 to 2017,England,Combined Authority,E47000015,Devon and Torbay,Male,1,<1,1,66.1,64.7,67.4,82,80.60975609756098,80.60975609756098,14.509756097560981
2015 to 2017,England,Combined Authority,E47000015,Devon and Torbay,Female,2,<1,1,67.1,65.5,68.6,80,83.87499999999999,83.87499999999999,16.77499999999999
2015 to 2017,England,Combined Authority,E47000016,Hull and East Yorkshire,Male,1,<1,1,61.1,59.4,62.7,78,78.33333333333333,78.33333333333333,17.233333333333327
2015 to 2017,England,Combined Authority,E47000016,Hull and East Yorkshire,Female,2,<1,1,61.3,59.4,63.2,75,81.73333333333333,81.73333333333333,20.433333333333337
2015 to 2017,England,Combined Authority,E47000017,Greater Lincolnshire,Male,1,<1,1,61.7,60.5,62.8,78,79.1025641025641,79.1025641025641,17.4025641025641
2015 to 2017,England,Combined Authority,E47000017,Greater Lincolnshire,Female,2,<1,1,61.8,60.4,63.2,75,82.39999999999999,82.39999999999999,20.599999999999994
2015 to 2017,England,Combined Authority,E47000018,Lancashire (Combined Authority),Male,1,<1,1,61.4,60.3,62.4,79,77.72151898734177,77.72151898734177,16.32151898734177
2015 to 2017,England,Combined Authority,E47000018,Lancashire (Combined Authority),Female,2,<1,1,62.5,61.3,63.7,76,82.23684210526315,82.23684210526315,19.73684210526315
2015 to 2017,England,Integrated Care Board,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Male,1,<1,1,61.9,61.2,62.7,79,78.35443037974683,78.35443037974683,16.45443037974683
2015 to 2017,England,Integrated Care Board,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Female,2,<1,1,62.8,62.0,63.7,77,81.55844155844156,81.55844155844156,18.75844155844156
2015 to 2017,England,Integrated Care Board,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Male,1,<1,1,62.3,60.9,63.7,79,78.86075949367088,78.86075949367088,16.560759493670886
2015 to 2017,England,Integrated Care Board,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Female,2,<1,1,63.4,61.8,64.9,77,82.33766233766234,82.33766233766234,18.93766233766234
2015 to 2017,England,Integrated Care Board,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Male,1,<1,1,63.1,61.4,64.7,79,79.87341772151899,79.87341772151899,16.77341772151899
2015 to 2017,England,Integrated Care Board,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",Female,2,<1,1,63.9,62.0,65.8,77,82.98701298701299,82.98701298701299,19.08701298701299
2015 to 2017,England,Integrated Care Board,E54000013,NHS Lincolnshire Integrated Care Board,Male,1,<1,1,62.3,60.5,64.0,78,79.87179487179486,79.87179487179486,17.571794871794864
2015 to 2017,England,Integrated Care Board,E54000013,NHS Lincolnshire Integrated Care Board,Female,2,<1,1,62.2,60.1,64.4,75,82.93333333333334,82.93333333333334,20.733333333333334
2015 to 2017,England,Integrated Care Board,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Male,1,<1,1,64.2,62.9,65.6,80,80.25,80.25,16.049999999999997
2015 to 2017,England,Integrated Care Board,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Female,2,<1,1,64.4,62.9,66.0,77,83.63636363636364,83.63636363636364,19.236363636363635
2015 to 2017,England,Integrated Care Board,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Male,1,<1,1,64.1,62.7,65.5,81,79.1358024691358,79.1358024691358,15.035802469135803
2015 to 2017,England,Integrated Care Board,E54000018,NHS Coventry and Warwickshire Integrated Care Board,Female,2,<1,1,65.6,63.9,67.2,79,83.03797468354429,83.03797468354429,17.437974683544297
2015 to 2017,England,Integrated Care Board,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Male,1,<1,1,66.1,64.8,67.3,83,79.63855421686746,79.63855421686746,13.538554216867468
2015 to 2017,England,Integrated Care Board,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,Female,2,<1,1,67.8,66.3,69.4,81,83.7037037037037,83.7037037037037,15.903703703703698
2015 to 2017,England,Integrated Care Board,E54000022,NHS Norfolk and Waveney Integrated Care Board,Male,1,<1,1,63.8,62.1,65.5,80,79.74999999999999,79.74999999999999,15.949999999999989
2015 to 2017,England,Integrated Care Board,E54000022,NHS Norfolk and Waveney Integrated Care Board,Female,2,<1,1,64.8,63.0,66.6,78,83.07692307692307,83.07692307692307,18.27692307692307
2015 to 2017,England,Integrated Care Board,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Male,1,<1,1,64.3,62.8,65.9,80,80.37499999999999,80.37499999999999,16.07499999999999
2015 to 2017,England,Integrated Care Board,E54000023,NHS Suffolk and North East Essex Integrated Care Board,Female,2,<1,1,65.2,63.4,67.0,78,83.58974358974359,83.58974358974359,18.38974358974359
2015 to 2017,England,Integrated Care Board,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Male,1,<1,1,64.4,63.2,65.6,81,79.50617283950618,79.50617283950618,15.106172839506172
2015 to 2017,England,Integrated Care Board,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",Female,2,<1,1,65.4,64.0,66.8,78,83.84615384615385,83.84615384615385,18.446153846153848
2015 to 2017,England,Integrated Care Board,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Male,1,<1,1,65.8,64.4,67.1,81,81.23456790123456,81.23456790123456,15.434567901234558
2015 to 2017,England,Integrated Care Board,E54000025,NHS Hertfordshire and West Essex Integrated Care Board,Female,2,<1,1,66.6,65.0,68.1,79,84.30379746835442,84.30379746835442,17.703797468354423
2015 to 2017,England,Integrated Care Board,E54000026,NHS Mid and South Essex Integrated Care Board,Male,1,<1,1,63.5,62.2,64.8,79,80.37974683544303,80.37974683544303,16.87974683544303
2015 to 2017,England,Integrated Care Board,E54000026,NHS Mid and South Essex Integrated Care Board,Female,2,<1,1,64.1,62.6,65.6,77,83.24675324675324,83.24675324675324,19.14675324675325
2015 to 2017,England,Integrated Care Board,E54000027,NHS North West London Integrated Care Board,Male,1,<1,1,63.7,62.6,64.8,79,80.63291139240506,80.63291139240506,16.93291139240506
2015 to 2017,England,Integrated Care Board,E54000027,NHS North West London Integrated Care Board,Female,2,<1,1,64.0,62.8,65.2,76,84.21052631578948,84.21052631578948,20.21052631578948
2015 to 2017,England,Integrated Care Board,E54000028,NHS North Central London Integrated Care Board,Male,1,<1,1,64.4,63.0,65.8,80,80.5,80.5,16.099999999999994
2015 to 2017,England,Integrated Care Board,E54000028,NHS North Central London Integrated Care Board,Female,2,<1,1,64.9,63.4,66.5,77,84.28571428571429,84.28571428571429,19.385714285714286
2015 to 2017,England,Integrated Care Board,E54000029,NHS North East London Integrated Care Board,Male,1,<1,1,62.9,61.7,64.0,79,79.62025316455696,79.62025316455696,16.720253164556958
2015 to 2017,England,Integrated Care Board,E54000029,NHS North East London Integrated Care Board,Female,2,<1,1,63.1,61.7,64.5,76,83.02631578947368,83.02631578947368,19.926315789473684
2015 to 2017,England,Integrated Care Board,E54000030,NHS South East London Integrated Care Board,Male,1,<1,1,63.9,62.6,65.3,80,79.875,79.875,15.975000000000001
2015 to 2017,England,Integrated Care Board,E54000030,NHS South East London Integrated Care Board,Female,2,<1,1,64.6,63.0,66.1,77,83.89610389610388,83.89610389610388,19.296103896103887
2015 to 2017,England,Integrated Care Board,E54000031,NHS South West London Integrated Care Board,Male,1,<1,1,65.6,64.2,66.9,81,80.98765432098764,80.98765432098764,15.38765432098765
2015 to 2017,England,Integrated Care Board,E54000031,NHS South West London Integrated Care Board,Female,2,<1,1,65.9,64.4,67.3,78,84.48717948717949,84.48717948717949,18.587179487179483
2015 to 2017,England,Integrated Care Board,E54000032,NHS Kent and Medway Integrated Care Board,Male,1,<1,1,63.6,62.3,64.8,80,79.5,79.5,15.899999999999999
2015 to 2017,England,Integrated Care Board,E54000032,NHS Kent and Medway Integrated Care Board,Female,2,<1,1,64.2,62.8,65.5,77,83.37662337662339,83.37662337662339,19.176623376623382
2015 to 2017,England,Integrated Care Board,E54000034,NHS Frimley Integrated Care Board,Male,1,<1,1,66.9,65.7,68.1,82,81.58536585365854,81.58536585365854,14.685365853658539
2015 to 2017,England,Integrated Care Board,E54000034,NHS Frimley Integrated Care Board,Female,2,<1,1,67.4,65.9,68.8,80,84.25,84.25,16.849999999999994
2015 to 2017,England,Integrated Care Board,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Male,1,<1,1,63.7,61.6,65.8,80,79.625,79.625,15.924999999999997
2015 to 2017,England,Integrated Care Board,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,Female,2,<1,1,64.4,62.0,66.9,77,83.63636363636364,83.63636363636364,19.236363636363635
2015 to 2017,England,Integrated Care Board,E54000037,NHS Devon Integrated Care Board,Male,1,<1,1,64.8,63.6,65.9,81,79.99999999999999,79.99999999999999,15.199999999999989
2015 to 2017,England,Integrated Care Board,E54000037,NHS Devon Integrated Care Board,Female,2,<1,1,65.5,64.2,66.9,78,83.97435897435898,83.97435897435898,18.474358974358978
2015 to 2017,England,Integrated Care Board,E54000038,NHS Somerset Integrated Care Board,Male,1,<1,1,65.6,63.5,67.7,82,80.0,80.0,14.400000000000006
2015 to 2017,England,Integrated Care Board,E54000038,NHS Somerset Integrated Care Board,Female,2,<1,1,66.7,64.4,69.0,79,84.43037974683544,84.43037974683544,17.73037974683544
2015 to 2017,England,Integrated Care Board,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Male,1,<1,1,63.8,62.3,65.3,80,79.74999999999999,79.74999999999999,15.949999999999989
2015 to 2017,England,Integrated Care Board,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Female,2,<1,1,64.5,62.9,66.1,77,83.76623376623377,83.76623376623377,19.266233766233768
2015 to 2017,England,Integrated Care Board,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Male,1,<1,1,66.0,64.8,67.2,82,80.48780487804879,80.48780487804879,14.487804878048792
2015 to 2017,England,Integrated Care Board,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",Female,2,<1,1,66.7,65.3,68.1,79,84.43037974683544,84.43037974683544,17.73037974683544
2015 to 2017,England,Integrated Care Board,E54000041,NHS Dorset Integrated Care Board,Male,1,<1,1,65.2,63.8,66.5,81,80.49382716049382,80.49382716049382,15.29382716049382
2015 to 2017,England,Integrated Care Board,E54000041,NHS Dorset Integrated Care Board,Female,2,<1,1,65.8,64.3,67.3,78,84.35897435897435,84.35897435897435,18.558974358974353
2015 to 2017,England,Integrated Care Board,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Male,1,<1,1,65.3,64.3,66.2,81,80.61728395061728,80.61728395061728,15.31728395061728
2015 to 2017,England,Integrated Care Board,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,Female,2,<1,1,66.1,65.0,67.1,79,83.67088607594935,83.67088607594935,17.57088607594936
2015 to 2017,England,Integrated Care Board,E54000043,NHS Gloucestershire Integrated Care Board,Male,1,<1,1,66.0,64.1,67.9,82,80.48780487804879,80.48780487804879,14.487804878048792
2015 to 2017,England,Integrated Care Board,E54000043,NHS Gloucestershire Integrated Care Board,Female,2,<1,1,66.8,64.6,69.1,80,83.49999999999999,83.49999999999999,16.69999999999999
2015 to 2017,England,Integrated Care Board,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Male,1,<1,1,68.9,67.9,69.9,85,81.05882352941177,81.05882352941177,12.158823529411762
2015 to 2017,England,Integrated Care Board,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",Female,2,<1,1,69.9,68.7,71.0,83,84.21686746987953,84.21686746987953,14.316867469879526
2015 to 2017,England,Integrated Care Board,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Male,1,<1,1,61.8,60.8,62.8,79,78.22784810126582,78.22784810126582,16.427848101265823
2015 to 2017,England,Integrated Care Board,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Female,2,<1,1,62.9,61.7,64.1,77,81.68831168831169,81.68831168831169,18.788311688311687
2015 to 2017,England,Integrated Care Board,E54000050,NHS North East and North Cumbria Integrated Care Board,Male,1,<1,1,59.9,59.3,60.6,77,77.79220779220779,77.79220779220779,17.892207792207792
2015 to 2017,England,Integrated Care Board,E54000050,NHS North East and North Cumbria Integrated Care Board,Female,2,<1,1,60.8,60.1,61.5,74,82.16216216216216,82.16216216216216,21.362162162162164
2015 to 2017,England,Integrated Care Board,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Male,1,<1,1,62.9,62.0,63.8,79,79.62025316455696,79.62025316455696,16.720253164556958
2015 to 2017,England,Integrated Care Board,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Female,2,<1,1,63.3,62.3,64.3,76,83.28947368421052,83.28947368421052,19.989473684210523
2015 to 2017,England,Integrated Care Board,E54000054,NHS West Yorkshire Integrated Care Board,Male,1,<1,1,61.1,60.1,62.0,78,78.33333333333333,78.33333333333333,17.233333333333327
2015 to 2017,England,Integrated Care Board,E54000054,NHS West Yorkshire Integrated Care Board,Female,2,<1,1,61.3,60.2,62.3,75,81.73333333333333,81.73333333333333,20.433333333333337
2015 to 2017,England,Integrated Care Board,E54000055,NHS Birmingham and Solihull Integrated Care Board,Male,1,<1,1,60.0,58.7,61.3,77,77.92207792207792,77.92207792207792,17.922077922077918
2015 to 2017,England,Integrated Care Board,E54000055,NHS Birmingham and Solihull Integrated Care Board,Female,2,<1,1,61.4,60.0,62.9,75,81.86666666666666,81.86666666666666,20.46666666666666
2015 to 2017,England,Integrated Care Board,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Male,1,<1,1,64.7,63.2,66.2,80,80.875,80.875,16.174999999999997
2015 to 2017,England,Integrated Care Board,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,Female,2,<1,1,65.5,63.9,67.2,78,83.97435897435898,83.97435897435898,18.474358974358978
2015 to 2017,England,Integrated Care Board,E54000057,NHS Greater Manchester Integrated Care Board,Male,1,<1,1,59.8,59.1,60.5,77,77.66233766233766,77.66233766233766,17.862337662337666
2015 to 2017,England,Integrated Care Board,E54000057,NHS Greater Manchester Integrated Care Board,Female,2,<1,1,60.6,59.8,61.3,74,81.8918918918919,81.8918918918919,21.2918918918919
2015 to 2017,England,Integrated Care Board,E54000058,NHS Derby and Derbyshire Integrated Care Board,Male,1,<1,1,62.3,60.8,63.7,79,78.86075949367088,78.86075949367088,16.560759493670886
2015 to 2017,England,Integrated Care Board,E54000058,NHS Derby and Derbyshire Integrated Care Board,Female,2,<1,1,62.2,60.5,63.9,75,82.93333333333334,82.93333333333334,20.733333333333334
2015 to 2017,England,Integrated Care Board,E54000059,NHS Northamptonshire Integrated Care Board,Male,1,<1,1,64.4,62.5,66.2,81,79.50617283950618,79.50617283950618,15.106172839506172
2015 to 2017,England,Integrated Care Board,E54000059,NHS Northamptonshire Integrated Care Board,Female,2,<1,1,64.6,62.4,66.8,78,82.8205128205128,82.8205128205128,18.22051282051281
2015 to 2017,England,Integrated Care Board,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Male,1,<1,1,60.6,59.1,62.0,77,78.7012987012987,78.7012987012987,18.101298701298695
2015 to 2017,England,Integrated Care Board,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,Female,2,<1,1,60.0,58.4,61.7,73,82.19178082191782,82.19178082191782,22.191780821917817
2015 to 2017,England,Integrated Care Board,E54000061,NHS South Yorkshire Integrated Care Board,Male,1,<1,1,60.3,59.1,61.4,77,78.3116883116883,78.3116883116883,18.011688311688303
2015 to 2017,England,Integrated Care Board,E54000061,NHS South Yorkshire Integrated Care Board,Female,2,<1,1,60.2,59.0,61.5,74,81.35135135135135,81.35135135135135,21.15135135135135
2015 to 2017,England,Integrated Care Board,E54000062,NHS Black Country Integrated Care Board,Male,1,<1,1,58.3,57.1,59.4,75,77.73333333333333,77.73333333333333,19.433333333333337
2015 to 2017,England,Integrated Care Board,E54000062,NHS Black Country Integrated Care Board,Female,2,<1,1,59.2,58.0,60.4,72,82.22222222222223,82.22222222222223,23.022222222222226
2015 to 2017,England,Integrated Care Board,E54000063,NHS Surrey Heartlands Integrated Care Board,Male,1,<1,1,68.0,66.4,69.7,84,80.95238095238095,80.95238095238095,12.952380952380949
2015 to 2017,England,Integrated Care Board,E54000063,NHS Surrey Heartlands Integrated Care Board,Female,2,<1,1,69.0,67.0,71.0,81,85.18518518518518,85.18518518518518,16.185185185185176
2015 to 2017,England,Integrated Care Board,E54000064,NHS Sussex Integrated Care Board,Male,1,<1,1,64.3,63.1,65.5,80,80.37499999999999,80.37499999999999,16.07499999999999
2015 to 2017,England,Integrated Care Board,E54000064,NHS Sussex Integrated Care Board,Female,2,<1,1,65.0,63.6,66.4,78,83.33333333333333,83.33333333333333,18.33333333333333
2015 to 2017,England,Country,E92000001,England,Male,1,<1,1,63.3,63.2,63.5,80,79.12499999999999,79.12499999999999,15.824999999999989
2015 to 2017,England,Country,E92000001,England,Female,2,<1,1,64.0,63.8,64.2,77,83.11688311688312,83.11688311688312,19.116883116883116
2016 to 2018,England,Local Areas,E06000001,Hartlepool,Male,1,<1,1,57.3,54.8,59.7,75,76.39999999999999,76.39999999999999,19.099999999999994
2016 to 2018,England,Local Areas,E06000001,Hartlepool,Female,2,<1,1,58.2,55.7,60.7,72,80.83333333333334,80.83333333333334,22.63333333333334
2016 to 2018,England,Local Areas,E06000002,Middlesbrough,Male,1,<1,1,57.6,55.4,59.9,76,75.78947368421052,75.78947368421052,18.18947368421052
2016 to 2018,England,Local Areas,E06000002,Middlesbrough,Female,2,<1,1,58.7,56.3,61.1,73,80.41095890410959,80.41095890410959,21.71095890410959
2016 to 2018,England,Local Areas,E06000003,Redcar and Cleveland,Male,1,<1,1,59.9,57.4,62.4,77,77.79220779220779,77.79220779220779,17.892207792207792
2016 to 2018,England,Local Areas,E06000003,Redcar and Cleveland,Female,2,<1,1,60.5,57.9,63.1,74,81.75675675675676,81.75675675675676,21.256756756756758
2016 to 2018,England,Local Areas,E06000004,Stockton-on-Tees,Male,1,<1,1,59.0,56.5,61.5,76,77.63157894736842,77.63157894736842,18.631578947368425
2016 to 2018,England,Local Areas,E06000004,Stockton-on-Tees,Female,2,<1,1,59.4,56.6,62.3,73,81.36986301369863,81.36986301369863,21.969863013698635
2016 to 2018,England,Local Areas,E06000005,Darlington,Male,1,<1,1,62.1,59.7,64.5,79,78.60759493670886,78.60759493670886,16.507594936708863
2016 to 2018,England,Local Areas,E06000005,Darlington,Female,2,<1,1,63.0,60.6,65.5,77,81.81818181818181,81.81818181818181,18.818181818181813
2016 to 2018,England,Local Areas,E06000006,Halton,Male,1,<1,1,58.6,56.1,61.0,76,77.10526315789474,77.10526315789474,18.50526315789474
2016 to 2018,England,Local Areas,E06000006,Halton,Female,2,<1,1,59.3,56.7,61.9,73,81.23287671232876,81.23287671232876,21.932876712328763
2016 to 2018,England,Local Areas,E06000007,Warrington,Male,1,<1,1,64.0,61.9,66.2,81,79.01234567901234,79.01234567901234,15.012345679012341
2016 to 2018,England,Local Areas,E06000007,Warrington,Female,2,<1,1,64.9,62.2,67.7,79,82.15189873417722,82.15189873417722,17.251898734177217
2016 to 2018,England,Local Areas,E06000008,Blackburn with Darwen,Male,1,<1,1,58.8,56.8,60.8,76,77.36842105263158,77.36842105263158,18.568421052631578
2016 to 2018,England,Local Areas,E06000008,Blackburn with Darwen,Female,2,<1,1,59.3,57.0,61.7,74,80.13513513513513,80.13513513513513,20.835135135135133
2016 to 2018,England,Local Areas,E06000009,Blackpool,Male,1,<1,1,55.1,52.8,57.4,74,74.45945945945947,74.45945945945947,19.359459459459465
2016 to 2018,England,Local Areas,E06000009,Blackpool,Female,2,<1,1,56.1,53.3,58.9,70,80.14285714285715,80.14285714285715,24.04285714285715
2016 to 2018,England,Local Areas,E06000010,"Kingston upon Hull, City of",Male,1,<1,1,56.9,54.5,59.4,75,75.86666666666666,75.86666666666666,18.96666666666666
2016 to 2018,England,Local Areas,E06000010,"Kingston upon Hull, City of",Female,2,<1,1,57.7,54.7,60.7,72,80.1388888888889,80.1388888888889,22.438888888888897
2016 to 2018,England,Local Areas,E06000011,East Riding of Yorkshire,Male,1,<1,1,64.4,62.2,66.6,80,80.5,80.5,16.099999999999994
