Area name,Area code,2011 to 2013,2012 to 2014,2013 to 2015,2014 to 2016,2015 to 2017,2016 to 2018,2017 to 2019,2018 to 2020,2019 to 2021,2020 to 2022,2021 to 2023,2022 to 2024,gap_2011_2013,gap_2022_2024,total_change,annual_change,IMD_Rank,IMD_Decile,gap_2035_projected,status_2035
Middlesbrough,E06000002,20.490639269406394,19.104510354510353,18.653679653679653,19.522759601706966,19.966005767844266,19.950216294160054,19.495765877957655,18.387179487179484,20.190867579908677,21.669120200655996,22.89396135265701,24.35550767290309,20.490639269406394,24.35550767290309,3.864868403496697,0.35135167304515424,9514.622222222222,3.422222222222222,28.74740358596752,Off Track (Rapid Decline)
Milton Keynes,E06000042,17.00865384615384,17.0900641025641,16.175121112673857,14.542399226535771,15.860080271688794,16.64161392405063,17.916924215025478,17.8754068716094,17.893629787933587,19.034615384615385,19.53160173160173,20.404054054054058,17.00865384615384,20.404054054054058,3.3954002079002166,0.308672746172747,18370.409638554218,5.945783132530121,24.262463381213394,Off Track (Rapid Decline)
Newcastle upon Tyne,E08000021,20.860730593607304,20.374693583273256,19.972190611664292,19.822972972972977,20.28493150684932,20.356200432588324,20.060487457747733,18.664102564102567,17.541624198586224,19.149567099567097,20.256056236481616,19.16735966735967,20.860730593607304,19.16735966735967,-1.6933709262476349,-0.1539428114770577,14157.45,4.727777777777778,17.243074523896446,On Track (Improving)
Newham,E09000025,21.015204678362576,20.60826118326118,18.557172995780586,17.803947368421053,17.79407894736842,18.50717299578059,20.305861946272906,17.221266233766233,16.252564102564094,15.808630393996246,18.58059071729958,18.863502109704644,21.015204678362576,18.863502109704644,-2.1517025686579316,-0.19560932442344833,8805.935135135134,3.097297297297297,16.41838555441154,On Track (Improving)
North East Lincolnshire,E06000012,17.564918625678118,18.87435897435897,20.47754145638068,20.498738284066327,19.594682344682347,19.59994734994735,21.172222222222224,22.960861056751476,23.136688505062537,22.975471510819936,24.543514820264875,24.088773819386912,17.564918625678118,24.088773819386912,6.523855193708794,0.5930777448826177,13721.18691588785,4.700934579439252,31.502245630419633,Off Track (Rapid Decline)
North Lincolnshire,E06000013,17.23133116883117,18.074050632911387,18.098134576948695,19.81693576693577,19.794103194103194,21.012557077625573,21.80382882882883,23.09618395303327,22.77760617760618,20.261056751467713,19.842400842400842,20.85730994152047,17.23133116883117,20.85730994152047,3.625978772689301,0.3296344338808455,15327.135922330097,5.058252427184466,24.97774036503104,Off Track (Rapid Decline)
North Northamptonshire,E06000061,16.222034692920765,17.84553674173927,16.23688857634005,18.209460359760154,17.33896103896104,15.84850262426675,18.14380413057961,17.02622254288921,18.20696202531645,20.061190179683333,20.083241416118124,22.218500190331177,16.222034692920765,22.218500190331177,5.996465497410412,0.5451332270373102,18130.678048780486,5.829268292682927,29.032665528297553,Off Track (Rapid Decline)
North Somerset,E06000024,16.419065478981082,15.62987804878049,16.019598765432093,15.598475609756093,16.00336523618401,16.360423503672443,16.095801173201608,16.971082621082616,16.10632716049382,15.68628048780488,16.90517568850902,20.311512811512813,16.419065478981082,20.311512811512813,3.892447332531731,0.3538588484119755,21688.166666666668,6.8768115942028984,24.734748416662505,Off Track (Rapid Decline)
North Tyneside,E08000022,20.951369863013696,19.632449982449984,19.24264069264069,19.30584415584415,18.40782726045884,18.87435897435897,19.63159003159003,20.038904694167854,20.042460881934563,20.723744292237445,21.08333333333334,22.41891891891892,20.951369863013696,22.41891891891892,1.4675490559052236,0.1334135505368385,17392.61654135338,5.616541353383458,24.0865883006294,Borderline (Slow Decline)
North Yorkshire,E06000065,15.526524390243907,14.740123456790123,14.80603153354157,16.089456622414325,16.060558814448903,15.645426829268288,16.422190967338643,14.785549605830724,15.631402439024392,15.617378048780488,18.12779878349498,17.285576923076924,15.526524390243907,17.285576923076924,1.7590525328330173,0.1599138666211834,20131.45382585752,6.482849604221636,19.284500255841717,Borderline (Slow Decline)
